msa_name,diff
6701,0.0
3485,0.03
5962,0.0
5811,0.02
1224,0.27
1884,0.0
365,0.01
430,0.1
3359,0.01
3721,0.01
6442,0.13
1852,0.13
3695,0.0
1381,0.01
5646,0.03
4852,0.0
5672,0.12
4115,0.0
4752,0.0
642,0.07
7227,0.44
4458,0.0
5823,0.05
6899,0.01
3431,0.01
3155,0.01
2449,0.26
4054,0.0
4859,0.04
6778,0.04
1643,0.01
4800,0.01
4033,0.02
5495,0.02
2305,0.06
4775,0.03
2669,0.03
2717,0.05
5314,0.01
7287,0.19
2373,0.03
6610,0.01
708,0.0
1781,0.01
784,0.25
5606,0.04
5875,0.03
1559,0.07
7196,0.01
5818,0.0
1275,0.06
3768,0.0
4329,0.02
1242,0.45
1046,0.04
3804,0.02
2862,0.06
2654,0.06
1534,0.18
6287,0.01
694,0.12
5877,0.0
4036,0.01
4997,0.01
6316,0.01
3303,0.01
5111,0.03
3666,0.04
7292,0.02
5007,0.02
5194,0.03
2824,0.18
6076,0.04
5355,0.01
7293,0.46
7416,0.0
152,0.04
3948,0.01
3955,0.04
2721,0.44
6636,0.12
3997,0.3
4776,0.01
2572,0.5
7176,0.0
3783,0.01
7692,0.22
5858,0.04
5729,0.05
6639,0.05
7271,0.01
4656,0.0
6494,0.0
3942,0.02
6576,0.06
3164,0.08
3847,0.01
1995,0.03
3074,0.0
1251,0.03
6857,0.03
5850,0.01
2816,0.04
4718,0.02
4072,0.0
5409,0.04
5478,0.0
3338,0.0
768,0.12
4573,0.03
3080,0.01
4952,0.01
989,0.16
446,0.09
1106,0.01
1416,0.02
5436,0.0
7098,0.03
172,0.36
1264,0.04
4016,0.1
4190,0.0
4369,0.09
3675,0.01
7469,0.0
1281,0.25
5230,0.01
3748,0.43
7570,0.04
5081,0.02
5996,0.0
2133,0.05
4561,0.03
4030,0.0
912,0.0
2841,0.01
7356,0.05
1079,0.01
4029,0.02
1627,0.05
5,0.61
4567,0.03
249,0.03
7282,0.23
4809,0.0
5671,0.0
2667,0.28
5316,0.02
1735,0.06
937,0.2
4854,0.05
5826,0.01
4979,0.01
7043,0.0
6842,0.02
542,0.46
2381,0.43
6364,0.24
7735,0.01
6804,0.02
3718,0.2
2909,0.22
3988,0.01
4015,0.14
271,0.23
5730,0.02
4833,0.01
5506,0.01
5681,0.03
4853,0.21
856,0.04
1445,0.19
1009,0.12
5117,0.01
3497,0.05
7714,0.05
3618,0.1
3232,0.04
6175,0.0
1810,0.04
1144,0.0
1705,0.16
3277,0.03
7272,0.47
2246,0.04
1362,0.04
1356,0.39
289,0.05
4806,0.07
679,0.0
6912,0.0
1365,0.16
4717,0.01
3825,0.15
5920,0.02
3510,0.07
5862,0.06
4385,0.02
1042,0.0
6686,0.03
3927,0.14
6563,0.01
5365,0.03
2253,0.49
4828,0.04
1696,0.06
1885,0.03
991,0.01
3831,0.02
2157,0.0
3787,0.01
7239,0.38
5579,0.01
1795,0.02
6182,0.03
5083,0.0
1254,0.02
2869,0.0
5709,0.01
3347,0.03
5607,0.02
714,0.04
4004,0.03
3044,0.02
241,0.25
5650,0.04
3353,0.16
2332,0.0
5183,0.09
6453,0.05
7479,0.08
248,0.55
62,0.05
3615,0.14
7094,0.24
6771,0.0
3158,0.01
4484,0.28
4235,0.08
7427,0.04
113,0.26
476,0.39
1543,0.1
1791,0.0
4312,0.07
5031,0.01
3756,0.41
804,0.02
2177,0.49
4501,0.03
1059,0.06
2589,0.05
1376,0.52
3159,0.06
2802,0.01
1477,0.32
4674,0.08
4027,0.02
3511,0.3
7712,0.08
6204,0.01
4680,0.0
4547,0.11
3590,0.01
3402,0.11
7639,0.03
1981,0.01
1815,0.07
532,0.05
5380,0.03
4439,0.0
1111,0.54
5580,0.0
4192,0.01
234,0.14
4862,0.14
2446,0.33
1932,0.02
2242,0.22
6764,0.0
3572,0.06
1626,0.07
5362,0.01
3368,0.03
6130,0.01
489,0.0
1340,0.01
6012,0.01
247,0.02
7129,0.35
2199,0.04
1456,0.01
1148,0.02
947,0.32
7349,0.02
195,0.0
1792,0.0
3398,0.0
4928,0.16
2831,0.06
4819,0.09
4318,0.1
4668,0.03
3614,0.12
4245,0.02
923,0.07
4486,0.15
5526,0.02
1528,0.0
1002,0.03
2656,0.02
2716,0.09
683,0.01
783,0.05
6249,0.0
4320,0.46
3678,0.26
5847,0.01
633,0.22
3227,0.17
1677,0.24
6230,0.01
993,0.02
5401,0.01
6572,0.01
843,0.14
5676,0.02
3494,0.08
1914,0.31
240,0.0
3848,0.0
962,0.0
56,0.55
1061,0.02
1697,0.32
1496,0.0
6794,0.0
3662,0.1
2945,0.01
5319,0.06
4051,0.08
7449,0.42
5852,0.01
4598,0.0
2547,0.43
7666,0.24
2441,0.13
422,0.44
824,0.03
263,0.53
3901,0.0
5786,0.02
3498,0.05
4522,0.01
2931,0.06
5828,0.0
1950,0.01
1127,0.01
6131,0.0
4078,0.01
4195,0.02
3638,0.05
5462,0.0
6681,0.0
543,0.39
2872,0.1
5915,0.0
5933,0.01
4614,0.01
1529,0.4
3009,0.0
7147,0.11
6446,0.0
1701,0.03
4624,0.1
5139,0.0
7104,0.05
2668,0.42
2179,0.0
332,0.03
5699,0.02
3968,0.0
4789,0.0
4100,0.03
7060,0.01
7290,0.48
4903,0.02
261,0.01
3093,0.0
3092,0.0
4970,0.04
6089,0.01
5794,0.01
1737,0.07
1890,0.01
770,0.0
132,0.06
5234,0.23
2365,0.02
705,0.17
5530,0.0
1024,0.11
6367,0.6
1030,0.06
765,0.04
78,0.03
1424,0.01
2530,0.0
484,0.08
5283,0.0
628,0.15
284,0.0
2509,0.06
1758,0.04
3064,0.0
1881,0.03
7120,0.36
4544,0.0
6958,0.01
3112,0.01
6237,0.01
5122,0.0
749,0.01
1260,0.04
6389,0.0
3146,0.0
1824,0.4
5097,0.05
4005,0.02
5303,0.0
4037,0.43
5030,0.02
2371,0.13
7360,0.08
6097,0.0
6081,0.01
721,0.01
2863,0.09
1292,0.0
1481,0.21
7465,0.06
6894,0.0
2592,0.48
7497,0.02
122,0.4
7506,0.02
1087,0.05
4139,0.04
1119,0.04
6426,0.17
4846,0.0
7723,0.08
1092,0.04
3052,0.02
4528,0.04
7317,0.27
7182,0.0
3648,0.03
879,0.0
863,0.0
6467,0.03
3212,0.04
1616,0.0
5714,0.01
5585,0.02
4716,0.01
5017,0.0
3354,0.01
1167,0.11
7086,0.0
