,dataset,branchID_True,alrt_Support,inTrue
0,21567_0,taxon15,1.0,0
1,21567_0,taxon15,1.0,0
2,21567_0,6,1.0,1
3,21567_0,8,91.7,1
4,21567_0,9,92.8,1
5,21567_0,taxon15,0.0,0
6,21567_0,11,0.0,1
7,21567_0,taxon15,1.0,0
8,21567_0,15,73.7,1
9,21567_0,taxon15,1.0,0
10,21567_0,19,100.0,1
11,21567_0,20,82.7,1
12,21567_0,26,0.0,1
13,683_6,2,1.0,1
14,683_6,taxon21,0.0,0
15,683_6,taxon21,73.9,0
16,683_6,taxon21,78.0,0
17,683_6,11,98.1,1
18,683_6,7,85.6,1
19,683_6,13,78.2,1
20,683_6,14,91.2,1
21,683_6,15,94.6,1
22,683_6,16,97.2,1
23,683_6,17,100.0,1
24,683_6,18,97.0,1
25,683_6,19,97.6,1
26,683_6,21,91.4,1
27,683_6,22,82.0,1
28,683_6,23,87.6,1
29,683_6,26,84.6,1
30,683_6,28,90.0,1
31,683_6,29,82.0,1
32,11502_2,taxon6,1.0,0
33,11502_2,taxon6,1.0,0
34,11502_2,taxon6,1.0,0
35,11502_2,taxon6,1.0,0
36,11502_2,3,96.1,1
37,11502_2,7,96.1,1
38,11502_2,8,98.9,1
39,11502_2,taxon6,100.0,0
40,11502_2,14,99.0,1
41,11502_2,taxon6,1.0,0
42,11502_2,taxon6,98.9,0
43,11502_2,20,99.5,1
44,11502_2,taxon6,1.0,0
45,11502_2,taxon6,1.0,0
46,11502_2,27,99.6,1
47,11502_2,28,99.0,1
48,11502_2,taxon6,1.0,0
49,11502_2,taxon6,1.0,0
50,11502_2,taxon6,88.4,0
51,11502_2,taxon6,1.0,0
52,11502_2,taxon6,1.0,0
53,17555_0,9,1.0,1
54,17555_0,taxon23,0.0,0
55,17555_0,taxon23,0.0,0
56,17555_0,taxon23,0.0,0
57,17555_0,6,98.1,1
58,17555_0,taxon23,94.5,0
59,17555_0,4,96.1,1
60,17555_0,taxon23,50.4,0
61,17555_0,taxon23,0.0,0
62,17555_0,22,80.8,1
63,17555_0,13,85.7,1
64,17555_0,21,92.3,1
65,17555_0,29,74.8,1
66,17555_0,30,99.6,1
