,Type I error > 70%,Support > 70% in True Tree,Type I error > 75%,Support > 75% in True Tree,Type I error > 80%,Support > 80% in True Tree,Type I error > 85%,Support > 85% in True Tree,Type I error > 90%,Support > 90% in True Tree
EBG,0.15,0.71,0.14,0.67,0.12,0.62,0.1,0.56,0.08,0.49
EBG filtered (25),0.14,0.72,0.12,0.69,0.11,0.65,0.09,0.6,0.08,0.54
EBG filtered (15),0.07,0.8,0.07,0.79,0.07,0.78,0.07,0.77,0.07,0.76
EBG filtered (10),0.05,0.86,0.05,0.86,0.05,0.86,0.05,0.86,0.05,0.86
EBG filtered (5),0.03,0.89,0.03,0.89,0.03,0.89,0.03,0.89,0.03,0.89
EBG filtered (1),0.01,0.9,0.01,0.9,0.01,0.9,0.01,0.9,0.01,0.9
ALRT,0.23,0.85,0.2,0.81,0.17,0.74,0.14,0.67,0.11,0.55
UFB,0.27,0.9,0.25,0.88,0.23,0.85,0.2,0.81,0.17,0.76
SBS,0.18,0.8,0.17,0.76,0.15,0.72,0.14,0.68,0.12,0.61
RB,0.18,0.79,0.17,0.76,0.15,0.72,0.14,0.68,0.11,0.61
