,dataset,branchID_True,rb_Support,inTrue
0,17978_0,taxon12,1.0,0
1,17978_0,66,100.0,1
2,17978_0,taxon12,74.0,0
3,17978_0,taxon12,84.0,0
4,17978_0,65,92.0,1
5,17978_0,taxon12,91.0,0
6,17978_0,59,99.0,1
7,17978_0,taxon12,94.0,0
8,17978_0,taxon12,83.0,0
9,17978_0,68,100.0,1
10,17978_0,taxon12,48.0,0
11,17978_0,taxon12,28.0,0
12,17978_0,taxon12,100.0,0
13,17978_0,62,100.0,1
14,17978_0,taxon12,62.0,0
15,17978_0,taxon12,31.0,0
16,17978_0,taxon12,32.0,0
17,17978_0,taxon12,45.0,0
18,17978_0,taxon12,59.0,0
19,17978_0,42,78.0,1
20,17978_0,27,100.0,1
21,17978_0,taxon12,57.0,0
22,17978_0,45,90.0,1
23,17978_0,22,72.0,1
24,17978_0,taxon12,43.0,0
25,17978_0,51,100.0,1
26,17978_0,taxon12,53.0,0
27,17978_0,14,95.0,1
28,17978_0,taxon12,99.0,0
29,17978_0,taxon12,85.0,0
30,17978_0,23,100.0,1
31,17978_0,24,79.0,1
32,17978_0,4,89.0,1
33,17978_0,2,86.0,1
34,17978_0,25,75.0,1
35,17978_0,taxon12,53.0,0
36,17978_0,9,100.0,1
37,17978_0,10,100.0,1
38,17978_0,6,100.0,1
39,13699_2,taxon46,1.0,0
40,13699_2,taxon46,62.0,0
41,13699_2,taxon46,3.0,0
42,13699_2,taxon46,31.0,0
43,13699_2,taxon46,0.0,0
44,13699_2,taxon46,8.0,0
45,13699_2,taxon46,0.0,0
46,13699_2,taxon46,0.0,0
47,13699_2,taxon46,0.0,0
48,13699_2,taxon46,63.0,0
49,13699_2,taxon46,1.0,0
50,13699_2,taxon46,0.0,0
51,13699_2,taxon46,28.0,0
52,13699_2,47,77.0,1
53,13699_2,taxon46,0.0,0
54,13699_2,taxon46,0.0,0
55,13699_2,taxon46,27.0,0
56,13699_2,taxon46,3.0,0
57,13699_2,taxon46,9.0,0
58,13699_2,taxon46,0.0,0
59,13699_2,taxon46,21.0,0
60,13699_2,102,87.0,1
61,13699_2,50,70.0,1
62,13699_2,taxon46,1.0,0
63,13699_2,taxon46,0.0,0
64,13699_2,62,58.0,1
65,13699_2,taxon46,56.0,0
66,13699_2,taxon46,32.0,0
67,13699_2,taxon46,3.0,0
68,13699_2,taxon46,0.0,0
69,13699_2,41,22.0,1
70,13699_2,taxon46,52.0,0
71,13699_2,taxon46,0.0,0
72,13699_2,45,7.0,1
73,13699_2,46,95.0,1
74,13699_2,taxon46,98.0,0
75,13699_2,22,86.0,1
76,13699_2,taxon46,0.0,0
77,13699_2,52,53.0,1
78,13699_2,51,73.0,1
79,13699_2,53,94.0,1
80,13699_2,54,65.0,1
81,13699_2,taxon46,57.0,0
82,13699_2,25,100.0,1
83,13699_2,26,100.0,1
84,13699_2,taxon46,7.0,0
85,13699_2,63,92.0,1
86,13699_2,67,92.0,1
87,13699_2,taxon46,0.0,0
88,13699_2,29,96.0,1
89,13699_2,103,66.0,1
90,13699_2,79,98.0,1
91,13699_2,taxon46,88.0,0
92,13699_2,taxon46,0.0,0
93,13699_2,112,54.0,1
94,13699_2,85,32.0,1
95,13699_2,taxon46,76.0,0
96,13699_2,taxon46,1.0,0
97,13699_2,taxon46,63.0,0
98,13699_2,taxon46,84.0,0
99,13699_2,taxon46,2.0,0
100,13699_2,3,66.0,1
101,13699_2,130,90.0,1
102,13699_2,taxon46,52.0,0
103,13699_2,taxon46,4.0,0
104,13699_2,131,99.0,1
105,15463_9,taxon11,1.0,0
106,15463_9,taxon11,0.0,0
107,15463_9,taxon11,0.0,0
108,15463_9,taxon11,2.0,0
109,15463_9,taxon11,0.0,0
110,15463_9,taxon11,0.0,0
111,15463_9,taxon11,0.0,0
112,15463_9,taxon11,1.0,0
113,15463_9,taxon11,1.0,0
114,15463_9,taxon11,5.0,0
115,15463_9,taxon11,3.0,0
116,15463_9,taxon11,100.0,0
117,15463_9,taxon11,100.0,0
118,15463_9,18,96.0,1
119,15463_9,taxon11,100.0,0
120,15463_9,taxon11,33.0,0
121,15463_9,24,100.0,1
122,15463_9,23,42.0,1
123,15463_9,taxon11,13.0,0
124,15463_9,taxon11,5.0,0
125,15463_9,taxon11,6.0,0
126,15463_9,taxon11,6.0,0
127,15463_9,taxon11,2.0,0
128,15463_9,9,6.0,1
129,15463_9,taxon11,0.0,0
130,15463_9,taxon11,0.0,0
131,15463_9,taxon11,4.0,0
132,15463_9,taxon11,0.0,0
133,15463_9,taxon11,0.0,0
134,15463_9,taxon11,5.0,0
135,585_2,15,1.0,1
136,585_2,17,100.0,1
137,585_2,taxon4,97.0,0
138,585_2,21,61.0,1
139,585_2,16,93.0,1
140,585_2,taxon4,82.0,0
141,585_2,taxon4,100.0,0
142,585_2,3,100.0,1
143,585_2,taxon4,71.0,0
144,585_2,29,54.0,1
145,585_2,taxon4,45.0,0
146,585_2,8,100.0,1
147,585_2,2,91.0,1
148,585_2,9,98.0,1
149,585_2,31,99.0,1
150,585_2,taxon4,32.0,0
151,25559_0,taxon50,1.0,0
152,25559_0,taxon50,61.0,0
153,25559_0,taxon50,90.0,0
154,25559_0,taxon50,31.0,0
155,25559_0,taxon50,75.0,0
156,25559_0,86,80.0,1
157,25559_0,taxon50,46.0,0
158,25559_0,30,71.0,1
159,25559_0,taxon50,58.0,0
160,25559_0,taxon50,44.0,0
161,25559_0,14,90.0,1
162,25559_0,taxon50,58.0,0
163,25559_0,taxon50,93.0,0
164,25559_0,taxon50,99.0,0
165,25559_0,4,66.0,1
166,25559_0,taxon50,28.0,0
167,25559_0,63,98.0,1
168,25559_0,taxon50,52.0,0
169,25559_0,10,85.0,1
170,25559_0,9,81.0,1
171,25559_0,taxon50,16.0,0
172,25559_0,17,47.0,1
173,25559_0,18,99.0,1
174,25559_0,taxon50,96.0,0
175,25559_0,31,87.0,1
176,25559_0,25,51.0,1
177,25559_0,26,73.0,1
178,25559_0,taxon50,87.0,0
179,25559_0,taxon50,76.0,0
180,25559_0,36,97.0,1
181,25559_0,35,33.0,1
182,25559_0,38,90.0,1
183,25559_0,taxon50,46.0,0
184,25559_0,taxon50,14.0,0
185,25559_0,54,98.0,1
186,25559_0,taxon50,86.0,0
187,25559_0,taxon50,49.0,0
188,25559_0,39,69.0,1
189,25559_0,50,87.0,1
190,25559_0,taxon50,97.0,0
191,25559_0,taxon50,99.0,0
192,25559_0,taxon50,85.0,0
193,25559_0,65,91.0,1
194,25559_0,taxon50,38.0,0
195,25559_0,taxon50,1.0,0
196,25559_0,taxon50,1.0,0
197,25559_0,taxon50,1.0,0
198,25559_0,taxon50,0.0,0
199,25559_0,taxon50,0.0,0
200,25559_0,taxon50,0.0,0
201,25559_0,taxon50,1.0,0
202,25559_0,taxon50,0.0,0
203,25559_0,taxon50,2.0,0
204,25559_0,taxon50,0.0,0
205,25559_0,taxon50,0.0,0
206,25559_0,taxon50,0.0,0
207,25559_0,taxon50,1.0,0
208,25559_0,taxon50,1.0,0
209,15835_1,taxon41,1.0,0
210,15835_1,taxon41,98.0,0
211,15835_1,20,84.0,1
212,15835_1,taxon41,100.0,0
213,15835_1,15,61.0,1
214,15835_1,taxon41,100.0,0
215,15835_1,taxon41,99.0,0
216,15835_1,27,100.0,1
217,15835_1,taxon41,16.0,0
218,15835_1,17,100.0,1
219,15835_1,18,98.0,1
220,15835_1,1,90.0,1
221,15835_1,taxon41,44.0,0
222,15835_1,taxon41,33.0,0
223,15835_1,taxon41,59.0,0
224,15835_1,32,9.0,1
225,15835_1,23,100.0,1
226,15835_1,2,97.0,1
227,15835_1,7,100.0,1
228,15835_1,40,30.0,1
229,15835_1,6,96.0,1
230,15835_1,43,85.0,1
231,15835_1,taxon41,99.0,0
232,15835_1,taxon41,12.0,0
233,15835_1,taxon41,0.0,0
234,15835_1,taxon41,0.0,0
235,15835_1,taxon41,0.0,0
236,15835_1,taxon41,0.0,0
237,15835_1,taxon41,0.0,0
238,15835_1,taxon41,0.0,0
239,15835_1,taxon41,0.0,0
240,15835_1,taxon41,0.0,0
241,15835_1,taxon41,0.0,0
242,15835_1,taxon41,0.0,0
243,15835_1,taxon41,0.0,0
244,15835_1,taxon41,0.0,0
245,15835_1,taxon41,7.0,0
246,15835_1,taxon41,6.0,0
247,15835_1,taxon41,0.0,0
248,15835_1,taxon41,6.0,0
249,15835_1,taxon41,67.0,0
250,15835_1,taxon41,75.0,0
251,15835_1,taxon41,57.0,0
252,15835_1,taxon41,14.0,0
253,15835_1,taxon41,5.0,0
254,15835_1,taxon41,38.0,0
255,15835_1,taxon41,1.0,0
256,15835_1,taxon41,6.0,0
257,15835_1,taxon41,19.0,0
258,13596_0,taxon78,1.0,0
259,13596_0,taxon78,2.0,0
260,13596_0,taxon78,0.0,0
261,13596_0,taxon78,0.0,0
262,13596_0,taxon78,0.0,0
263,13596_0,taxon78,0.0,0
264,13596_0,taxon78,0.0,0
265,13596_0,taxon78,0.0,0
266,13596_0,taxon78,0.0,0
267,13596_0,taxon78,0.0,0
268,13596_0,taxon78,0.0,0
269,13596_0,taxon78,0.0,0
270,13596_0,taxon78,0.0,0
271,13596_0,taxon78,0.0,0
272,13596_0,taxon78,0.0,0
273,13596_0,taxon78,0.0,0
274,13596_0,taxon78,2.0,0
275,13596_0,taxon78,0.0,0
276,13596_0,taxon78,16.0,0
277,13596_0,taxon78,0.0,0
278,13596_0,taxon78,29.0,0
279,13596_0,taxon78,3.0,0
280,13596_0,taxon78,0.0,0
281,13596_0,taxon78,27.0,0
282,13596_0,taxon78,0.0,0
283,13596_0,taxon78,49.0,0
284,13596_0,taxon78,98.0,0
285,13596_0,taxon78,0.0,0
286,13596_0,taxon78,0.0,0
287,13596_0,taxon78,2.0,0
288,13596_0,taxon78,5.0,0
289,13596_0,taxon78,0.0,0
290,13596_0,6,6.0,1
291,13596_0,taxon78,1.0,0
292,13596_0,taxon78,0.0,0
293,13596_0,13,44.0,1
294,13596_0,14,57.0,1
295,13596_0,taxon78,0.0,0
296,13596_0,taxon78,0.0,0
297,13596_0,22,46.0,1
298,13596_0,23,87.0,1
299,13596_0,taxon78,0.0,0
300,13596_0,taxon78,0.0,0
301,13596_0,taxon78,26.0,0
302,13596_0,taxon78,75.0,0
303,13596_0,34,61.0,1
304,13596_0,taxon78,1.0,0
305,13596_0,taxon78,0.0,0
306,13596_0,taxon78,40.0,0
307,13596_0,taxon78,33.0,0
308,13596_0,taxon78,1.0,0
309,13596_0,taxon78,0.0,0
310,13596_0,taxon78,0.0,0
311,13596_0,taxon78,3.0,0
312,13596_0,taxon78,7.0,0
313,13596_0,taxon78,0.0,0
314,13596_0,taxon78,0.0,0
315,13596_0,taxon78,0.0,0
316,13596_0,taxon78,0.0,0
317,13596_0,taxon78,0.0,0
318,13596_0,taxon78,0.0,0
319,13596_0,taxon78,0.0,0
320,13596_0,taxon78,0.0,0
321,13596_0,taxon78,0.0,0
322,13596_0,taxon78,0.0,0
323,13596_0,taxon78,0.0,0
324,13596_0,taxon78,0.0,0
325,13596_0,taxon78,0.0,0
326,13596_0,taxon78,0.0,0
327,13596_0,taxon78,16.0,0
328,13596_0,taxon78,0.0,0
329,13596_0,taxon78,0.0,0
330,13596_0,79,86.0,1
331,13596_0,taxon78,0.0,0
332,13596_0,taxon78,0.0,0
333,13596_0,92,33.0,1
334,13596_0,taxon78,0.0,0
335,13596_0,taxon78,5.0,0
336,13596_0,103,86.0,1
337,13596_0,taxon78,0.0,0
338,13596_0,111,91.0,1
339,13596_0,taxon78,0.0,0
340,13596_0,122,12.0,1
341,13596_0,taxon78,1.0,0
342,13596_0,taxon78,5.0,0
343,13596_0,taxon78,7.0,0
344,13596_0,taxon78,15.0,0
345,12594_1,taxon3,1.0,0
346,12594_1,taxon3,4.0,0
347,12594_1,taxon3,8.0,0
348,12594_1,taxon3,10.0,0
349,12594_1,taxon3,86.0,0
350,12594_1,taxon3,7.0,0
351,12594_1,taxon3,2.0,0
352,12594_1,taxon3,89.0,0
353,12594_1,taxon3,9.0,0
354,12594_1,taxon3,3.0,0
355,12594_1,taxon3,0.0,0
356,12594_1,taxon3,16.0,0
357,12594_1,taxon3,35.0,0
358,12594_1,taxon3,5.0,0
359,12594_1,15,97.0,1
360,12594_1,taxon3,0.0,0
361,12594_1,taxon3,0.0,0
362,12594_1,taxon3,0.0,0
363,12594_1,taxon3,0.0,0
364,12594_1,taxon3,0.0,0
365,12594_1,taxon3,0.0,0
366,12594_1,taxon3,0.0,0
367,12594_1,taxon3,0.0,0
368,12594_1,taxon3,0.0,0
369,12594_1,taxon3,0.0,0
370,12594_1,taxon3,99.0,0
371,12594_1,taxon3,0.0,0
372,12594_1,taxon3,1.0,0
373,12594_1,taxon3,0.0,0
374,12594_1,taxon3,22.0,0
375,12594_1,taxon3,0.0,0
376,12594_1,taxon3,0.0,0
377,12594_1,taxon3,82.0,0
378,12594_1,taxon3,0.0,0
379,12594_1,taxon3,17.0,0
380,12594_1,taxon3,0.0,0
381,12594_1,59,100.0,1
382,12594_1,taxon3,23.0,0
383,12594_1,taxon3,0.0,0
384,12594_1,taxon3,0.0,0
385,12594_1,taxon3,0.0,0
386,12594_1,70,96.0,1
387,12594_1,taxon3,93.0,0
388,12594_1,47,8.0,1
389,12594_1,taxon3,0.0,0
390,12594_1,taxon3,0.0,0
391,12594_1,taxon3,0.0,0
392,12594_1,taxon3,100.0,0
393,12594_1,taxon3,11.0,0
394,12594_1,taxon3,98.0,0
395,12594_1,taxon3,0.0,0
396,12594_1,taxon3,0.0,0
397,12594_1,taxon3,0.0,0
398,12594_1,taxon3,0.0,0
399,12594_1,taxon3,28.0,0
400,12594_1,taxon3,18.0,0
401,12594_1,taxon3,26.0,0
402,12594_1,84,93.0,1
403,12594_1,taxon3,1.0,0
404,12594_1,taxon3,2.0,0
405,12594_1,taxon3,0.0,0
406,12594_1,taxon3,0.0,0
407,12594_1,taxon3,0.0,0
408,12594_1,taxon3,18.0,0
409,12594_1,101,99.0,1
410,12594_1,taxon3,0.0,0
411,12594_1,taxon3,0.0,0
412,12594_1,taxon3,0.0,0
413,12594_1,taxon3,0.0,0
414,12594_1,taxon3,0.0,0
415,12594_1,taxon3,0.0,0
416,12594_1,taxon3,0.0,0
417,12594_1,taxon3,0.0,0
418,12594_1,taxon3,0.0,0
419,12594_1,taxon3,0.0,0
420,12594_1,taxon3,85.0,0
421,12594_1,taxon3,0.0,0
422,12594_1,taxon3,28.0,0
423,12594_1,taxon3,0.0,0
424,12594_1,65,13.0,1
425,12594_1,taxon3,0.0,0
426,12594_1,taxon3,0.0,0
427,12594_1,79,15.0,1
428,12594_1,taxon3,0.0,0
429,11502_2,taxon6,1.0,0
430,11502_2,taxon6,100.0,0
431,11502_2,8,100.0,1
432,11502_2,taxon6,100.0,0
433,11502_2,14,100.0,1
434,11502_2,taxon6,100.0,0
435,11502_2,taxon6,13.0,0
436,11502_2,20,100.0,1
437,11502_2,taxon6,100.0,0
438,11502_2,taxon6,12.0,0
439,11502_2,taxon6,9.0,0
440,11502_2,27,100.0,1
441,11502_2,28,100.0,1
442,11502_2,34,13.0,1
443,11502_2,taxon6,18.0,0
444,11502_2,taxon6,5.0,0
445,11502_2,taxon6,13.0,0
446,11502_2,35,100.0,1
447,11502_2,taxon6,6.0,0
448,11502_2,41,31.0,1
449,11502_2,taxon6,7.0,0
450,17488_0,taxon4,1.0,0
451,17488_0,taxon4,96.0,0
452,17488_0,30,100.0,1
