dataset,diff
20975_0,0.07
18495_2,0.0
20628_0,0.12
18570_0,0.49
20987_13,0.1
16597_1,0.08
13549_0,0.48
11395_3,0.7
19714_30,0.51
13918_0,0.03
10073_0,0.57
16916_1,0.33
11582_1,0.42
18487_0,0.14
13356_14,0.7
15125_1,0.24
16824_2,0.02
10328_0,0.11
14412_1,0.08
16105_0,0.19
12726_0,0.61
12788_1,0.74
20371_2,0.01
18202_3,0.58
19439_1,0.0
13754_1,0.25
26361_0,0.7
13645_0,0.52
20548_1,0.0
15034_0,0.66
26976_2,0.16
9958_2,0.16
13424_2,0.68
22449_0,0.48
13423_3,0.61
11749_0,0.21
10943_1,0.28
16158_0,0.3
14291_0,0.41
17344_1,0.59
13673_0,0.2
21615_0,0.28
27596_13,0.63
11920_1,0.17
13741_0,0.0
19505_5,0.56
23886_0,0.66
26669_37,0.39
25607_2,0.5
14643_9,0.09
23300_0,0.66
18321_1,0.07
11126_2,0.08
16392_0,0.15
19466_2,0.13
10632_8,0.0
12630_1,0.08
10806_0,0.04
28121_0,0.0
16240_0,0.0
10010_0,0.33
16354_0,0.04
13908_1,0.25
12181_0,0.1
20336_0,0.12
19692_0,0.27
25683_0,0.65
9986_0,0.51
21602_3,0.48
10943_5,0.24
9966_2,0.78
18872_9,0.35
15179_8,0.48
22386_0,0.61
10944_0,0.64
10504_2,0.15
16035_0,0.01
19280_2,0.52
15635_3,0.03
569_5,0.35
22299_0,0.59
14647_0,0.44
26085_3,0.04
25803_0,0.06
14469_0,0.0
21617_0,0.11
15665_1,0.39
11784_0,0.0
11672_0,0.09
13356_24,0.65
27596_7,0.54
10190_2,0.7
19364_3,0.27
26681_0,0.47
15699_0,0.4
15657_1,0.64
13654_2,0.0
17669_0,0.48
17896_17,0.02
12959_1,0.67
11519_0,0.65
708_0,0.04
9971_0,0.37
11885_1,0.13
16418_1,0.0
18524_0,0.55
23707_0,0.24
18509_0,0.41
20616_0,0.01
10111_0,0.6
15325_2,0.18
15723_5,0.52
22620_0,0.1
21369_0,0.35
11535_4,0.42
585_1,0.16
683_0,0.03
26972_1,0.17
17301_1,0.49
26758_0,0.16
13423_2,0.66
10255_7,0.42
11105_5,0.03
554_0,0.45
19528_1,0.57
563_0,0.25
17823_0,0.39
25298_3,0.01
25256_16,0.0
17639_0,0.21
19714_9,0.03
14830_0,0.64
25442_1,0.11
11809_0,0.7
19664_1,0.04
15934_1,0.0
27037_2,0.6
18971_4,0.08
16982_1,0.13
9995_0,0.55
11502_2,0.0
16007_0,0.47
14377_1,0.58
23477_1,0.43
23853_3,0.66
22397_8,0.1
15971_4,0.0
15193_0,0.0
639_1,0.44
11128_2,0.41
11111_4,0.62
11035_0,0.61
18347_0,0.07
17615_1,0.51
19563_0,0.35
10220_0,0.68
17939_1,0.61
11487_4,0.71
12651_0,0.19
12586_1,0.0
23356_5,0.4
11439_0,0.54
14945_15,0.7
21719_0,0.55
16203_32,0.46
10359_4,0.76
25256_8,0.0
15631_2,0.13
19389_1,0.21
15161_13,0.05
20239_1,0.67
28161_0,0.65
23439_3,0.58
17851_0,0.08
13159_1,0.06
10070_0,0.52
13356_22,0.67
14539_0,0.52
14824_0,0.62
15125_3,0.18
19628_1,0.07
11599_0,0.17
27596_38,0.59
15339_0,0.64
11264_0,0.33
17263_0,0.68
21348_2,0.0
16461_5,0.71
16119_0,0.12
10091_1,0.65
20646_0,0.27
23452_0,0.0
11487_6,0.37
17827_1,0.56
23354_1,0.33
20041_0,0.45
11665_2,0.39
15161_0,0.12
679_0,0.32
15964_6,0.39
19280_1,0.44
