,dataset,branchID_True,ufb_Support,inTrue
0,13815_4,5,1.0,1
1,13815_4,taxon7,74.0,0
2,13815_4,taxon7,55.0,0
3,13815_4,taxon7,61.0,0
4,13815_4,taxon7,53.0,0
5,13815_4,4,87.0,1
6,13815_4,7,97.0,1
7,13815_4,13,81.0,1
8,10705_0,2,1.0,1
9,10705_0,6,100.0,1
10,10705_0,taxon23,56.0,0
11,10705_0,7,93.0,1
12,10705_0,8,98.0,1
13,10705_0,9,100.0,1
14,10705_0,10,99.0,1
15,10705_0,11,91.0,1
16,10705_0,taxon23,100.0,0
17,10705_0,13,100.0,1
18,10705_0,14,93.0,1
19,10705_0,taxon23,89.0,0
20,10705_0,23,99.0,1
21,10705_0,24,100.0,1
22,10705_0,25,41.0,1
23,10705_0,20,100.0,1
24,10705_0,31,94.0,1
25,10705_0,33,38.0,1
26,10705_0,34,85.0,1
27,10705_0,taxon23,59.0,0
28,10705_0,28,85.0,1
29,10705_0,taxon23,1.0,0
30,10705_0,taxon23,1.0,0
31,13533_3,taxon14,1.0,0
32,13533_3,taxon14,1.0,0
33,13533_3,taxon14,1.0,0
34,13533_3,taxon14,1.0,0
35,13533_3,taxon14,1.0,0
36,13533_3,taxon14,1.0,0
37,13533_3,taxon14,1.0,0
38,13533_3,taxon14,1.0,0
39,13533_3,taxon14,1.0,0
40,13533_3,taxon14,1.0,0
41,13533_3,taxon14,1.0,0
42,13533_3,taxon14,1.0,0
43,13533_3,taxon14,1.0,0
44,13533_3,taxon14,1.0,0
45,13533_3,taxon14,1.0,0
46,13533_3,taxon14,28.0,0
47,13533_3,taxon14,11.0,0
48,13533_3,10,89.0,1
49,13533_3,taxon14,4.0,0
50,13533_3,taxon14,11.0,0
51,13533_3,taxon14,56.0,0
52,13533_3,taxon14,12.0,0
53,13533_3,45,86.0,1
54,13533_3,taxon14,9.0,0
55,13533_3,78,91.0,1
56,13533_3,taxon14,94.0,0
57,13533_3,58,89.0,1
58,13533_3,taxon14,91.0,0
59,13533_3,taxon14,1.0,0
60,13533_3,taxon14,11.0,0
61,13533_3,82,96.0,1
62,13533_3,taxon14,1.0,0
63,13533_3,taxon14,1.0,0
64,13533_3,taxon14,2.0,0
65,13533_3,taxon14,1.0,0
66,13533_3,taxon14,1.0,0
67,13533_3,taxon14,5.0,0
68,13533_3,taxon14,1.0,0
69,13533_3,taxon14,1.0,0
70,13533_3,taxon14,1.0,0
71,13533_3,taxon14,20.0,0
72,13533_3,taxon14,12.0,0
73,13533_3,taxon14,1.0,0
74,13533_3,taxon14,1.0,0
75,13533_3,taxon14,1.0,0
76,13533_3,taxon14,86.0,0
77,13533_3,taxon14,66.0,0
78,13533_3,100,91.0,1
79,13533_3,120,87.0,1
80,13533_3,taxon14,1.0,0
81,13533_3,taxon14,1.0,0
82,13533_3,taxon14,1.0,0
83,13533_3,taxon14,32.0,0
84,13533_3,taxon14,53.0,0
85,13533_3,taxon14,94.0,0
86,13533_3,taxon14,51.0,0
87,13533_3,128,77.0,1
88,13533_3,taxon14,1.0,0
89,13533_3,taxon14,1.0,0
90,13533_3,taxon14,51.0,0
91,13533_3,taxon14,95.0,0
92,13533_3,taxon14,96.0,0
93,13533_3,taxon14,42.0,0
94,13533_3,taxon14,1.0,0
95,13533_3,taxon14,89.0,0
96,13533_3,taxon14,1.0,0
97,13533_3,taxon14,1.0,0
98,13533_3,taxon14,1.0,0
99,13533_3,taxon14,1.0,0
100,13533_3,taxon14,1.0,0
101,13533_3,taxon14,67.0,0
102,13533_3,taxon14,1.0,0
103,13533_3,taxon14,1.0,0
104,13533_3,taxon14,1.0,0
105,13533_3,taxon14,1.0,0
106,13533_3,taxon14,1.0,0
107,13533_3,taxon14,1.0,0
108,13533_3,taxon14,1.0,0
109,13533_3,taxon14,1.0,0
110,13533_3,taxon14,1.0,0
111,13533_3,taxon14,1.0,0
112,13533_3,taxon14,1.0,0
113,13533_3,taxon14,1.0,0
114,13533_3,taxon14,1.0,0
115,13533_3,taxon14,1.0,0
116,13533_3,taxon14,1.0,0
117,13533_3,taxon14,1.0,0
118,13533_3,taxon14,1.0,0
119,13533_3,taxon14,1.0,0
120,13533_3,taxon14,1.0,0
121,13533_3,taxon14,1.0,0
122,13533_3,taxon14,1.0,0
123,13533_3,taxon14,1.0,0
124,13533_3,taxon14,1.0,0
125,13533_3,taxon14,1.0,0
126,13533_3,taxon14,1.0,0
127,13533_3,taxon14,1.0,0
128,13533_3,taxon14,1.0,0
129,13533_3,taxon14,1.0,0
130,13533_3,taxon14,1.0,0
131,13533_3,taxon14,1.0,0
132,13533_3,taxon14,1.0,0
133,13423_2,taxon34,1.0,0
134,13423_2,taxon34,63.0,0
135,13423_2,taxon34,59.0,0
136,13423_2,taxon34,1.0,0
137,13423_2,taxon34,99.0,0
138,13423_2,3,99.0,1
139,13423_2,taxon34,1.0,0
140,13423_2,taxon34,1.0,0
141,13423_2,7,98.0,1
142,13423_2,taxon34,1.0,0
143,13423_2,taxon34,99.0,0
144,13423_2,taxon34,1.0,0
145,13423_2,taxon34,53.0,0
146,13423_2,taxon34,97.0,0
147,13423_2,taxon34,48.0,0
148,13423_2,taxon34,94.0,0
149,13423_2,taxon34,43.0,0
150,13423_2,27,99.0,1
151,13423_2,taxon34,54.0,0
152,13423_2,taxon34,28.0,0
153,13423_2,50,98.0,1
154,13423_2,31,84.0,1
155,13423_2,taxon34,7.0,0
156,13423_2,64,98.0,1
157,13423_2,49,76.0,1
158,13423_2,46,82.0,1
159,13423_2,57,54.0,1
160,13423_2,58,82.0,1
161,13423_2,35,71.0,1
162,13423_2,36,99.0,1
163,13423_2,taxon34,3.0,0
164,13423_2,51,80.0,1
165,13423_2,52,99.0,1
166,13423_2,67,93.0,1
167,13423_2,70,98.0,1
168,13423_2,taxon34,6.0,0
169,13423_2,taxon34,51.0,0
170,13423_2,taxon34,88.0,0
171,13423_2,taxon34,100.0,0
172,13423_2,taxon34,18.0,0
173,13423_2,taxon34,82.0,0
174,13423_2,taxon34,1.0,0
175,13423_2,taxon34,92.0,0
176,13423_2,87,91.0,1
177,13423_2,taxon34,52.0,0
178,13423_2,taxon34,1.0,0
179,13423_2,71,98.0,1
180,13423_2,95,88.0,1
181,13423_2,96,94.0,1
182,13423_2,86,99.0,1
183,13423_2,103,98.0,1
184,13423_2,104,98.0,1
185,13423_2,93,94.0,1
186,13423_2,94,100.0,1
187,13423_2,109,59.0,1
188,13423_2,99,98.0,1
189,13423_2,108,95.0,1
190,13423_2,113,98.0,1
191,13423_2,114,99.0,1
192,13423_2,117,99.0,1
193,13423_2,118,38.0,1
194,13423_2,119,98.0,1
195,13423_2,taxon34,57.0,0
196,13423_2,taxon34,99.0,0
197,13423_2,taxon34,1.0,0
198,13423_2,taxon34,41.0,0
199,13423_2,taxon34,41.0,0
200,13423_2,135,82.0,1
201,13423_2,137,96.0,1
202,13423_2,139,40.0,1
203,13423_2,140,99.0,1
204,21156_5,11,1.0,1
205,21156_5,taxon31,61.0,0
206,21156_5,taxon31,100.0,0
207,21156_5,6,100.0,1
208,21156_5,taxon31,100.0,0
209,21156_5,3,99.0,1
210,21156_5,4,74.0,1
211,21156_5,7,75.0,1
212,21156_5,8,100.0,1
213,21156_5,9,100.0,1
214,21156_5,10,58.0,1
215,21156_5,15,73.0,1
216,21156_5,17,81.0,1
217,21156_5,19,100.0,1
218,21156_5,20,98.0,1
219,21156_5,21,99.0,1
220,21156_5,25,96.0,1
221,21156_5,26,100.0,1
222,21156_5,27,87.0,1
223,21156_5,30,99.0,1
224,21156_5,31,100.0,1
225,21156_5,32,98.0,1
226,21156_5,33,91.0,1
227,21156_5,taxon31,100.0,0
228,21156_5,39,100.0,1
229,21156_5,45,98.0,1
230,21156_5,46,98.0,1
231,21156_5,taxon31,100.0,0
232,21156_5,taxon31,44.0,0
233,21156_5,52,94.0,1
234,21156_5,53,96.0,1
235,21156_5,56,94.0,1
236,21156_5,taxon31,1.0,0
237,21156_5,taxon31,59.0,0
238,21156_5,67,100.0,1
239,21156_5,59,100.0,1
240,21156_5,71,97.0,1
241,21156_5,76,99.0,1
242,21156_5,taxon31,44.0,0
