dataset,elapsed_time_iqtree,elapsed_time_ebg,elapsed_time_alrt,num_seq,len,elapsed_time_inference,elapsed_time_sbs,msa_size,elapsed_time_ebg_inf,isDNA
18218_1,185,25,192,37,5858,6,196,216746,31,1
13808_7,250,34,264,109,3692,32,981,402428,66,1
362_1,143,15,128,27,1949,2,40,52623,17,1
10169_0,216,14,200,75,417,3,70,31275,17,1
28077_0,161,21,157,71,2335,7,241,165785,28,1
19509_1,164,14,178,37,1369,1,28,50653,15,1
12334_0,149,17,144,45,2497,4,121,112365,21,1
16009_1,164,15,162,23,2108,0,10,48484,15,1
684_1,230,11,229,22,564,0,7,12408,11,1
18465_0,248,34,238,77,4951,25,780,381227,59,1
22999_3,207,12,218,7,3370,0,3,23590,12,1
12493_7,506,51,450,104,7138,52,3357,742352,103,1
9987_1,182,16,185,70,644,5,82,45080,21,1
12493_1,378,28,284,104,2900,39,1254,301600,67,1
16748_0,129,18,143,18,5145,2,28,92610,20,1
19060_0,203,13,209,27,569,0,11,15363,13,1
10949_2,223,26,172,79,2913,10,254,230127,36,1
23884_0,171,26,170,98,2776,11,287,272048,37,1
14954_0,235,21,224,79,2169,10,277,171351,31,1
14663_0,206,21,159,70,2488,11,261,174160,32,1
13815_2,218,10,234,10,268,0,3,2680,10,1
10196_0,170,22,162,82,1865,10,262,152930,32,1
12013_0,303,32,274,132,2319,33,1023,306108,65,1
12717_2,167,16,164,36,1780,3,28,64080,19,1
18872_2,234,1255,229,15,197688,4,350,2965320,1259,1
20736_0,252,35,228,111,3216,22,907,356976,57,1
16629_0,141,15,148,42,1340,5,502,56280,20,1
17791_0,165,15,165,50,723,3,46,36150,18,1
28258_0,167,14,157,48,903,3,76,43344,17,1
16675_0,168,17,162,38,1997,2,38,75886,19,1
13664_0,166,20,156,90,1529,9,233,137610,29,1
12020_0,170,16,176,48,1158,2,36,55584,18,1
16105_0,170,12,177,24,1266,1,13,30384,13,1
21191_0,663,176,543,184,14904,409,12596,2742336,585,1
25256_20,194,11,194,9,1167,1,3,10503,12,1
16313_11,169,15,161,48,1216,2,45,58368,17,1
16453_0,193,10,197,4,274,0,2,1096,10,1
11331_0,210,60,237,122,7462,18,858,910364,78,1
10749_0,168,15,175,41,1170,2,28,47970,17,1
11451_0,641,309,442,50,63462,151,15586,3173100,460,1
18883_0,167,13,164,26,976,1,16,25376,14,1
18850_2,214,10,207,5,246,0,2,1230,10,1
2224_0,153,19,156,55,1983,2,70,109065,21,1
14188_0,292,36,337,111,3679,53,1524,408369,89,1
2250_0,211,11,210,20,515,1,6,10300,12,1
12746_0,210,27,237,80,3368,15,436,269440,42,1
18131_0,161,11,157,19,892,1,12,16948,12,1
10271_5,197,27,177,26,9996,10,437,259896,37,1
11988_0,613,62,423,202,4074,119,4571,822948,181,1
22941_0,176,12,176,30,620,1,18,18600,13,1
11487_7,229,37,211,63,7095,10,426,446985,47,1
27016_1,166,15,162,54,1059,3,77,57186,18,1
21973_9,227,11,235,13,261,0,3,3393,11,1
23768_0,185,19,238,61,2426,10,273,147986,29,1
19925_6,166,25,207,73,2900,7,261,211700,32,1
2256_1,151,19,163,15,8417,0,26,126255,19,1
22442_6,172,13,158,12,1401,1,4,16812,14,1
17594_11,176,17,180,81,609,7,138,49329,24,1
25554_1,185,12,199,17,740,0,5,12580,12,1
10115_3,0,27,0,15,12927,0,674,193905,27,1
17666_0,201,29,218,162,1342,29,753,217404,58,1
17896_31,192,10,197,14,332,1,5,4648,11,1
25031_0,151,16,153,27,3112,0,17,84024,16,1
10727_0,184,16,171,60,746,3,50,44760,19,1
11991_4,304,26,228,153,1413,43,1143,216189,69,1
26988_12,221,14,227,21,1675,1,6,35175,15,1
14923_0,184,16,177,32,2436,1,15,77952,17,1
26628_4,176,13,181,54,480,3,55,25920,16,1
14035_0,198,14,189,27,986,1,11,26622,15,1
10268_3,211,13,219,41,627,0,16,25707,13,1
26988_8,238,14,239,20,1227,0,5,24540,14,1
10782_0,172,15,161,43,821,3,35,35303,18,1
12339_0,242,45,228,113,5049,23,664,570537,68,1
11777_0,520,52,534,153,4647,117,5438,710991,169,1
26551_4,235,12,234,21,420,0,6,8820,12,1
14504_0,170,14,181,45,766,2,31,34470,16,1
22552_1,169,14,163,33,881,1,22,29073,15,1
25829_8,152,16,153,30,2255,0,26,67650,16,1
16855_2,181,16,182,36,1198,1,34,43128,17,1
14725_7,150,13,156,40,844,2,46,33760,15,1
17014_0,165,18,164,54,2063,5,150,111402,23,1
18258_2,193,16,182,82,336,5,91,27552,21,1
14758_5,225,12,227,8,2206,0,3,17648,12,1
15828_0,168,15,162,44,1027,5,43,45188,20,1
2217_0,393,27,304,168,1124,36,1163,188832,63,1
18638_0,188,12,186,21,557,0,9,11697,12,1
