dataset,elapsed_time_iqtree,elapsed_time_ebg,elapsed_time_alrt,num_seq,len,elapsed_time_inference,elapsed_time_sbs,msa_size,elapsed_time_ebg_inf,isDNA,elapsed_time_rb_ng
362_1,143,15,128,27,1949,2,40,52623,17,1,11.443489074707031
10169_0,216,14,200,75,417,3,70,31275,17,1,13.370879888534546
19509_1,164,14,178,37,1369,1,28,50653,15,1,9.622642993927002
12334_0,149,17,144,45,2497,4,121,112365,21,1,49.565725564956665
16009_1,164,15,162,23,2108,0,10,48484,15,1,4.347800254821777
18465_0,248,34,238,77,4951,25,780,381227,59,1,200.31804513931277
12493_7,506,51,450,104,7138,52,3357,742352,103,1,641.0901699066162
9987_1,182,16,185,70,644,5,82,45080,21,1,17.42880630493164
12493_1,378,28,284,104,2900,39,1254,301600,67,1,318.4255714416504
16748_0,129,18,143,18,5145,2,28,92610,20,1,9.37598752975464
19060_0,203,13,209,27,569,0,11,15363,13,1,4.92054009437561
10949_2,223,26,172,79,2913,10,254,230127,36,1,46.14680576324463
23884_0,171,26,170,98,2776,11,287,272048,37,1,55.78025221824646
14954_0,235,21,224,79,2169,10,277,171351,31,1,53.08333444595337
13815_2,218,10,234,10,268,0,3,2680,10,1,2.6927456855773926
10196_0,170,22,162,82,1865,10,262,152930,32,1,86.78119492530823
12013_0,303,32,274,132,2319,33,1023,306108,65,1,138.9369761943817
12717_2,167,16,164,36,1780,3,28,64080,19,1,12.87034296989441
20736_0,252,35,228,111,3216,22,907,356976,57,1,161.8403627872467
16629_0,141,15,148,42,1340,5,502,56280,20,1,25.930020332336422
17791_0,165,15,165,50,723,3,46,36150,18,1,11.92195439338684
28258_0,167,14,157,48,903,3,76,43344,17,1,20.517012119293213
16675_0,168,17,162,38,1997,2,38,75886,19,1,20.150287628173828
13664_0,166,20,156,90,1529,9,233,137610,29,1,67.70674991607666
12020_0,170,16,176,48,1158,2,36,55584,18,1,15.700745820999146
16105_0,170,12,177,24,1266,1,13,30384,13,1,8.242871046066284
21191_0,663,176,543,184,14904,409,12596,2742336,585,1,1405.2102808952332
25256_20,194,11,194,9,1167,1,3,10503,12,1,2.6707656383514404
16453_0,193,10,197,4,274,0,2,1096,10,1,2.198089599609375
11331_0,210,60,237,122,7462,18,858,910364,78,1,229.888370513916
10749_0,168,15,175,41,1170,2,28,47970,17,1,8.578219175338745
18883_0,167,13,164,26,976,1,16,25376,14,1,6.195162773132324
