dataset,no_pat
18218_1,2238
13808_7,2365
362_1,933
10169_0,210
28077_0,925
19509_1,355
12334_0,885
16009_1,300
684_1,107
18465_0,2418
22999_3,119
12493_7,4392
9987_1,414
12493_1,2021
16748_0,1060
19060_0,189
10949_2,1088
23884_0,1057
14954_0,1199
14663_0,1345
13815_2,22
10196_0,901
12013_0,1660
12717_2,382
18872_2,10054
20736_0,1318
16629_0,960
17791_0,422
28258_0,608
16675_0,574
13664_0,743
12020_0,357
16105_0,311
21191_0,7932
25256_20,190
16313_11,470
16453_0,20
11331_0,1928
10749_0,348
11451_0,41983
18883_0,409
18850_2,17
2224_0,541
14188_0,2553
2250_0,126
12746_0,1747
18131_0,563
10271_5,5196
11988_0,2792
22941_0,363
11487_7,1908
27016_1,439
21973_9,96
23768_0,1481
19925_6,1189
2256_1,328
22442_6,331
17594_11,455
25554_1,201
10115_3,9174
17666_0,1001
17896_31,229
25031_0,460
10727_0,309
11991_4,1280
26988_12,73
14923_0,242
26628_4,377
14035_0,192
10268_3,109
26988_8,55
10782_0,426
12339_0,1610
11777_0,3175
26551_4,76
14504_0,301
22552_1,356
25829_8,522
16855_2,242
14725_7,583
17014_0,837
18258_2,278
14758_5,38
15828_0,479
2217_0,1124
18638_0,284
9972_0,350
11712_1,602
25256_23,64
26669_46,137
14151_0,69
688_1,107
15639_0,261
16632_2,200
16141_1,88
14232_0,197
16269_0,137
18638_1,586
20944_1,988
11032_4,265
22091_1,1262
17443_0,1792
17761_0,301
10169_2,150
15021_7,135
17814_0,328
17594_13,326
19925_0,557
10703_5,79
18448_0,1352
16637_2,146
11768_1,251
15427_0,389
26212_1,3184
14833_4,694
18438_0,129
25284_1,319
10714_0,1120
19447_0,164
10568_0,1039
12165_2,799
23535_1,725
10580_0,5274
15253_0,2508
13887_0,926
15019_5,130
20239_0,767
2191_2,187
25818_4,214
12855_2,459
15635_1,594
15179_2,229
10118_0,902
2180_2,263
11966_0,377
14534_25,132
27176_0,1237
19782_3,222
22442_11,322
13184_0,1101
14725_5,507
15908_1,268
16737_0,301
17723_0,1796
16007_0,148
23436_0,675
10856_1,233
18330_0,1286
20675_0,3380
21303_0,6153
10098_1,365
11376_0,1162
15097_1,1332
17774_4,527
11972_1,268
17749_1,215
10629_0,1223
10270_3,251
17390_1,314
10652_0,107
14643_2,441
19466_3,155
20239_3,1227
25341_1,983
26085_4,92
25635_1,409
14959_2,286
16785_1,245
22751_1,836
14888_3,154
18077_0,1130
11783_0,163
9936_1,192
17885_1,134
27689_0,2030
2248_0,1394
28112_0,406
13801_2,269
19797_0,328
10264_0,66
14688_23,111
15682_0,424
22052_0,520
15636_0,212
15368_0,357
14526_0,1579
17168_0,211
25084_2,202
22475_0,2276
14688_0,138
18654_0,531
19579_0,288
15021_3,299
20196_19,205
15769_0,343
19740_5,3004
22798_0,231
23279_0,404
20250_1,34
28360_30,163
22429_0,394
12306_1,401
19889_1,341
17878_9,3908
22200_0,304
10983_0,10902
15669_9,258
12306_13,671
22408_11,118
25181_0,306
10542_1,266
28360_18,197
23036_0,152
10791_9,242
10436_8,8915
13985_6,107
15306_5,723
12329_0,47819
10454_1,7219
28360_2,364
14244_0,27455
21817_6,194
10436_0,5243
28360_17,133
23282_0,1227
15039_2,1582
10801_0,662
16190_2,63
26188_0,1596
13909_1,51
20196_18,188
22805_0,116
10986_0,39692
15861_2,87
28360_8,109
23593_0,229
13909_0,46
20079_4,202
10562_0,6053
14688_13,85
