dataset,difficulty
20204_0,0.46
22172_0,0.0
10538_0,0.16
13985_5,0.16
15021_6,0.12
10296_6,0.42
18673_3,0.04
13965_0,0.29
12163_0,0.06
25256_17,0.06
10068_1,0.02
14084_3,0.02
10250_0,0.01
15306_5,0.41
10095_1,0.32
21946_0,0.33
13998_0,0.36
12201_3,0.0
16404_0,0.58
12262_0,0.45
17896_0,0.04
27338_0,0.2
13158_6,0.01
10580_0,0.52
20692_2,0.12
13533_4,0.65
20250_8,0.09
12452_0,0.01
26767_21,0.0
18321_0,0.09
13596_1,0.59
23894_0,0.06
320_0,0.07
19364_0,0.47
11289_1,0.76
14206_0,0.53
15179_6,0.61
17594_20,0.2
2217_1,0.58
14692_0,0.44
17594_9,0.14
10460_0,0.34
10425_0,0.02
11032_6,0.16
27102_3,0.54
378_5,0.02
23707_0,0.25
11936_1,0.18
16313_15,0.42
13878_0,0.28
23742_0,0.15
14840_1,0.01
12312_11,0.03
22052_0,0.17
15516_0,0.49
20409_0,0.17
11370_0,0.64
14984_0,0.33
15669_6,0.28
26085_4,0.15
11521_1,0.05
14979_0,0.07
12384_6,0.56
11678_4,0.52
20258_1,0.0
25606_0,0.6
22316_0,0.19
22353_0,0.68
27218_0,0.27
27043_2,0.83
15062_0,0.58
18751_1,0.0
21918_3,0.0
18777_2,0.64
16314_0,0.37
19569_0,0.62
13537_0,0.45
21138_0,0.43
26305_0,0.3
12165_6,0.58
15769_3,0.16
18202_67,0.18
22563_0,0.39
10311_1,0.15
17972_4,0.26
23780_2,0.59
22949_0,0.0
17878_11,0.17
11505_0,0.06
13673_0,0.17
22780_2,0.64
14326_0,0.44
16461_5,0.61
25256_4,0.05
25256_5,0.17
16461_4,0.65
13673_1,0.33
28137_2,0.62
14326_1,0.25
17972_5,0.43
17878_10,0.38
12067_0,0.42
20468_0,0.44
15769_2,0.11
18227_2,0.25
21468_0,0.12
19039_0,0.83
18202_66,0.34
18777_3,0.41
21138_1,0.54
20918_2,0.02
20345_0,0.26
21918_2,0.02
19998_2,0.41
18751_0,0.02
27043_3,0.05
21575_0,0.0
10249_0,0.2
27218_1,0.25
27065_0,0.26
25606_1,0.58
10521_0,0.35
20258_0,0.01
11521_0,0.6
11678_5,0.32
12384_7,0.64
14979_1,0.23
15669_7,0.33
14984_1,0.65
261_0,0.25
10148_0,0.06
15805_0,0.03
10620_0,0.32
27098_0,0.25
12312_10,0.0
10665_0,0.41
22052_1,0.26
13187_0,0.4
14840_0,0.0
27102_2,0.2
16420_0,0.09
12489_2,0.56
13878_1,0.22
16190_4,0.19
16313_14,0.2
12058_2,0.83
11936_0,0.27
15756_0,0.0
10936_0,0.53
17594_8,0.25
10425_1,0.05
15179_7,0.41
11289_0,0.69
2217_0,0.46
21548_0,0.05
13596_0,0.64
19364_1,0.58
11274_0,0.46
18321_1,0.04
10231_0,0.0
26767_20,0.05
28360_14,0.5
20250_9,0.16
21220_0,0.25
17896_1,0.08
12262_1,0.19
18847_0,0.18
27943_0,0.3
16404_1,0.54
15306_4,0.44
25256_16,0.02
14084_2,0.03
10068_0,0.1
10233_2,0.16
13965_1,0.7
11745_0,0.32
13985_4,0.14
18673_2,0.06
10296_7,0.5
20204_1,0.57
15021_5,0.31
27732_0,0.56
18673_0,0.03
10296_5,0.46
13985_6,0.47
20938_5,0.03
17878_9,0.36
15140_1,0.11
637_0,0.18
19636_0,0.04
26777_0,0.51
10068_2,0.0
13943_0,0.5
25256_14,0.18
18958_0,0.52
11681_3,0.34
10233_0,0.21
12943_0,0.41
15079_0,0.05
24394_0,0.64
23684_0,0.23
11991_5,0.09
13158_5,0.32
11971_0,0.03
17896_3,0.01
12201_0,0.01
28360_16,0.56
26767_22,0.02
11747_0,0.6
