dataset,correlation,p_value,mean_support
10098_1,0.91,0.0,65.01449275362319
10115_3,0.88,0.0,78.38461538461539
10118_0,0.94,0.0,56.94308943089431
10169_0,0.95,0.0,43.10958904109589
10169_2,0.93,0.0,51.26865671641791
10196_0,0.94,0.0,62.325
10264_0,0.9,0.0,61.5625
10268_3,0.96,0.0,40.12820512820513
10270_3,0.83,0.0,46.47727272727273
10271_5,0.92,0.0,52.625
10436_0,0.94,0.0,63.54347826086956
10436_8,0.84,0.0,56.1
10454_1,0.94,0.0,70.93103448275862
10542_1,0.93,0.0,57.39748953974895
10562_0,0.94,0.0,46.06164383561644
10568_0,0.95,0.0,75.56976744186046
10629_0,0.96,0.0,68.93478260869566
10652_0,0.92,0.0,73.92307692307692
10703_5,0.95,0.0,51.22222222222222
10714_0,0.95,0.0,71.9090909090909
10727_0,0.92,0.0,63.60344827586207
10749_0,0.97,0.0,72.41025641025641
10782_0,0.95,0.0,73.41463414634147
10791_9,0.87,0.0,41.0
10801_0,0.67,0.0,4.578947368421052
10856_1,0.87,0.0,56.84848484848485
10949_2,0.83,0.0,75.31168831168831
10983_0,0.78,0.0,67.64
10986_0,0.91,0.0,61.270270270270274
11032_4,0.9,0.0,73.07692307692308
11331_0,0.89,0.0,88.18333333333334
11376_0,0.94,0.0,64.78688524590164
11487_7,0.95,0.0,52.295081967213115
11712_1,0.92,0.0,59.29
11768_1,0.93,0.0,58.735849056603776
11777_0,0.86,0.0,74.87417218543047
11783_0,0.93,0.0,46.029411764705884
11966_0,0.83,0.0,57.58695652173913
11972_1,0.94,0.0,48.0
11988_0,0.88,0.0,75.41
11991_4,0.95,0.0,67.01986754966887
12013_0,0.9,0.0,73.00769230769231
12020_0,0.95,0.0,66.43478260869566
12165_2,0.92,0.0,68.81871345029239
12306_1,0.91,0.0,6.23469387755102
12306_13,0.97,0.0,9.755102040816327
12334_0,0.93,0.0,48.30232558139535
12339_0,0.93,0.0,65.96396396396396
12493_1,0.91,0.0,66.47058823529412
12493_7,0.86,0.0,71.2156862745098
12717_2,0.93,0.0,58.26470588235294
12746_0,0.91,0.0,74.53846153846153
12855_2,0.95,0.0,57.47286821705426
13184_0,0.89,0.0,70.125
13664_0,0.9,0.0,65.5909090909091
13801_2,0.92,0.0,56.42028985507246
13808_7,0.93,0.0,79.73831775700934
13815_2,0.97,0.0,48.25
13887_0,0.86,0.0,61.68571428571428
13909_0,0.93,0.0,31.98989898989899
13909_1,0.93,0.0,35.19430051813472
13985_6,0.92,0.0,63.98876404494382
